X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,13,X,X,14,15,16,17,18,19,20,21,X,19,X,21,22,23,24,25,26,X
X,12,13,14,15,X,X,X,X,X,X,20,X,18,X,X,X,X,X,X,25,X
X,X,X,X,X,X,14,15,16,17,18,19,18,17,X,19,20,21,22,23,24,X
X,8,7,8,9,X,13,X,X,X,X,X,X,16,X,X,19,X,X,X,X,X
X,7,X,X,X,X,12,X,12,13,14,15,14,15,16,17,18,X,20,21,22,X
X,6,7,8,9,10,11,12,13,X,X,X,13,X,X,X,17,18,19,X,21,X
X,X,X,X,X,X,X,X,X,X,10,11,12,13,X,X,X,X,X,X,20,X
X,0,1,2,3,4,5,6,7,8,9,X,X,12,13,14,15,16,17,18,19,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
