X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,X
X,36,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,58,X,X,X,X,X,X,X,X,69,X
X,35,X,X,36,35,36,X,38,37,38,X,40,39,40,41,42,43,X,X,X,X,X,X,X,57,56,55,X,X,64,65,66,67,68,X
X,34,X,X,35,X,37,X,37,X,39,X,39,X,X,X,X,42,X,X,X,X,X,X,X,X,X,54,X,X,63,X,X,X,X,X
X,33,X,X,34,X,36,X,36,X,38,X,38,37,38,39,40,41,42,43,44,45,46,47,48,X,X,53,X,X,62,63,62,63,62,X
X,32,X,X,33,X,35,X,35,X,37,X,37,X,37,X,X,X,X,44,43,X,X,X,49,50,51,52,X,X,X,X,X,X,61,X
X,31,X,31,32,X,34,X,34,X,36,35,36,X,36,37,38,39,X,X,42,X,X,X,X,X,X,X,X,55,56,57,58,59,60,X
X,30,X,X,31,X,33,X,33,X,X,X,X,X,X,X,X,38,X,X,41,40,39,38,37,36,35,34,X,X,55,X,X,X,X,X
X,29,X,X,30,X,32,31,32,X,X,33,32,33,34,35,36,37,X,X,X,X,X,X,X,X,X,33,X,X,54,53,52,51,50,X
X,28,27,28,29,X,X,X,X,X,X,32,X,X,X,X,X,X,X,24,25,26,27,28,29,X,X,32,X,X,X,X,X,X,49,X
X,X,X,X,X,X,28,27,28,29,30,31,X,29,28,27,26,25,24,23,X,X,X,X,28,X,X,31,X,43,44,45,46,47,48,X
X,24,23,24,25,26,27,X,X,X,X,X,X,30,X,X,X,X,X,22,X,24,25,26,27,X,X,30,X,X,43,X,X,X,X,X
X,23,X,X,X,X,X,X,28,29,30,31,32,31,X,17,18,19,20,21,22,23,X,X,X,X,X,29,X,X,42,41,40,39,38,X
X,22,23,24,25,26,27,28,29,X,X,X,X,X,X,16,X,X,X,X,X,X,X,X,X,X,X,28,X,X,43,42,X,X,37,X
X,X,X,X,X,X,X,X,X,X,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,X,X,X,X,X,X,36,X
X,0,1,2,3,4,5,6,7,8,9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,28,29,30,31,32,33,34,35,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
